scorer,,,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls,Kuls
bodyparts,,,mouth,mouth,head,head,withers,withers,midback,midback,tailbone,tailbone,F_knee1,F_knee1,F_knee2,F_knee2,F_hoof1,F_hoof1,F_hoof2,F_hoof2,B_hoof1,B_hoof1,B_hoof2,B_hoof2,B_knee1,B_knee1,B_knee2,B_knee2
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,lame2_11,img004.png,887.3226996419459,416.7586566720377,846.1680222212836,244.98261178579554,715.5466547557037,209.19593576782836,515.1412690550877,173.40925974986123,300.421212947285,216.3532709714218,692.285315344025,488.33200870797197,620.7119633080907,452.54533269000484,729.8613251628905,602.8493719654668,572.3999506838352,561.6946945448046,379.1519001868127,576.0093649519915,409.57057480208476,516.9613495223457,327.26121996076034,447.17733128730976,,
labeled-data,lame2_11,img015.png,910.5840390536245,352.3426398396969,842.5893546194869,180.56659495345468,697.6533167467201,173.40925974986123,482.9332606389173,141.20125133369083,286.1065425400982,198.45993296243824,629.6586323125825,481.1746735043785,758.4906659772643,466.86000309719174,640.3946351179727,590.3240353591781,785.3306729907396,590.3240353591781,280.7385411374031,565.2733621466011,447.1465846209502,538.4333551331258,264.6345369293179,436.4413284819195,382.7305677886094,454.33466649090303
labeled-data,lame2_11,img017.png,926.6880432617097,364.8679764459853,847.957356022182,189.51326395794644,694.0746491449233,175.19859355075954,484.7225944398157,148.35858653728422,275.370539734708,196.67059916153983,602.8186252991072,479.3853397034801,754.9119983754675,482.9640073052768,602.8186252991072,593.9027029609748,797.856009597028,595.6920367618732,261.0558693275212,561.6946945448044,425.67457901016996,554.5373593412111,246.74119892033434,431.07332707922444,350.522559372439,454.33466649090303
labeled-data,lame2_11,img025.png,924.8987094608113,440.01999608371625,905.2160376509294,257.5079483920839,724.4933237601955,187.72393015704807,507.9839338514944,135.83324993099575,266.42387073021627,176.9879273516579,624.2906309098875,488.3320087079718,697.6533167467201,486.54267490707355,552.7172788739532,576.0093649519913,733.4399927646872,592.1133691600764,339.7865565670489,574.2200311510929,311.15721575267514,534.8546875313291,273.58120593380966,423.915991875631,,
labeled-data,lame2_11,img032.png,907.0053714518277,481.17467350437846,894.4800348455393,304.0306272154412,742.386661769179,196.67059916153983,500.82659864790094,132.25458232919902,230.63719471224914,196.67059916153983,731.6506589637888,461.4920016944965,645.7626365206678,477.59600590258174,754.9119983754675,604.638705766365,635.0266337152776,577.7986987528897,438.19991561645844,597.4813705627715,282.52787493830147,567.0626959474995,346.94389177064227,468.6493368980899,262.84520312841954,418.547990472936
labeled-data,lame2_11,img040.png,930.2667108635064,454.33466649090303,890.9013672437426,266.4546173965757,742.386661769179,182.355928754353,473.98659163442557,125.09724712560558,221.69052570775733,182.355928754353,742.386661769179,499.06801151336197,597.4506238964121,465.0706692962932,790.6986743934345,602.8493719654666,574.1892844847335,577.7986987528897,368.41589738142255,597.4813705627715,291.4745439427932,472.22800449988665,228.84786091135078,413.17998907024094,,
labeled-data,lame2_11,img047.png,926.6880432617097,380.97198065407053,851.5360236239787,191.30259775884474,695.8639829458217,153.7265879399793,448.93591842184856,114.36124432021546,184.11451588889187,173.40925974986123,647.5519703215662,488.3320087079718,,,703.0213181494152,604.638705766365,,,259.2665355266228,604.638705766365,398.8345719966946,543.8013565358209,205.58652149967213,445.38799748641134,305.78921434998006,443.598663685513
labeled-data,lame2_11,img055.png,949.9493826733883,314.76663002083137,842.5893546194869,142.99058513458914,690.4959815431266,146.56925273638586,423.8852452092716,112.5719105193171,155.48517507451817,173.40925974986123,572.3999506838352,493.7000101106669,744.1759955700774,475.8066721016834,590.2932886928187,606.4280395672633,797.856009597028,597.4813705627715,160.85317647721322,610.0067071690601,350.522559372439,559.905360743906,141.17050466733133,445.38799748641134,255.6878679248261,461.4920016944965
